crop,total_hectares
Rice,135699720
Wheat,96062862
Maize,49211674
Sorghum,30545903
Cassava,30204482
Millet,26335277
Groundnut,19748247
Cowpea,13879318
Chickpea,13054553
Forages,10161295
Barley,10063860
Beans,9580989
Yam,7490992
Potato,6992148
Banana,6594567
Pigeonpea,5695481
Sweetpotato,4436795
Lentil,2635283
Soybean,1627356
Taro,1436369
Tomato,943926
Faba bean,821643
Pepper,749390
Grasspea,466255
