crop,unique_trait_count
Cassava,102
Millet,62
Maize,61
Wheat,60
Sorghum,59
Rice,55
Barley,44
Banana,44
Groundnut,40
Potato,39
Yam,38
Beans,35
Sweetpotato,30
Cowpea,28
Taro,27
Pigeonpea,25
Lentil,23
Faba bean,21
Chickpea,19
Forages,17
Soybean,16
Bambara groundnut,16
Grasspea,11
