crop,market_segment_count
Rice,148
Potato,59
Maize,54
Beans,41
Wheat,39
Sorghum,37
Groundnut,34
Millet,33
Cowpea,27
Sweetpotato,26
Pepper,25
Tomato,24
Cassava,22
Chickpea,19
Pigeonpea,16
Soybean,15
Barley,14
Banana,9
Forages,7
Faba bean,5
Lentil,5
Taro,3
Yam,3
Grasspea,2
