subregion,market_segment_count
East Africa,125
West Africa,120
South Asia,99
Southern Africa,75
Central Africa,71
South East Asia,71
Latin America and the Caribbean,45
North Africa,24
West Asia,22
Central Asia,14
The Pacific,1
