market_segment,total_hectares
Maize LAC MS00368,487179
Sorghum SA MS01123,484378
Groundnut EAF MS00390,482694
Tomato WAF MS01193,478266
Sorghum CAF MS01242,471763
Rice Temperate japonica NAF MS00934,471468
Rice Indica SA MS01302,469584
Beans LAC MS00549,457661
Maize SEA MS00346,449536
Rice Indica SEA MS00573,446329
Millet Pearl SA MS00959,439301
Forages Urochloa isp EAF MS00003,438845
Beans EAF MS00482,437660
Wheat Winter NAF MS00077,424004
Barley SA MS00260,422983
Cowpea WAF MS01231,421107
Rice Tropical japonica LAC MS00297,420098
Rice Indica CAF MS00144,419948
Rice Indica SA MS00913,419825
Sorghum WAF MS00915,418273
Lentil WA MS00276,417533
Beans EAF MS00492,415425
Sorghum SAF MS00666,406232
Rice Indica SEA MS00327,406097
Rice Indica SEA MS00337,404732
Banana Dessert EAF MS00009,398974
Barley EAF MS00265,397757
Millet Pearl SA MS00097,384388
Rice Indica LAC MS00345,383855
Sorghum CAF MS01241,381346
Chickpea Desi SEA MS01116,378769
Grasspea SA MS00278,376255
Groundnut SAF MS00393,372407
Rice Indica LAC MS00344,370312
Potato EAF MS00716,362947
Cassava SAF MS01070,362050
Rice Indica SA MS01311,358710
Sorghum WAF MS00678,351238
Rice Indica SEA MS00584,345774
Rice Indica SEA MS00610,345774
Maize WAF MS00860,345408
Millet Pearl WAF MS00646,342710
Wheat Durum WA MS00064,340954
Pigeonpea SAF MS00695,339709
Wheat Durum WA MS00030,338948
Groundnut SAF MS00395,336514
Wheat Spring CA MS00707,334669
Millet Finger SA MS00956,329476
Sweetpotato EAF MS00719,328388
Rice Indica SEA MS00324,327461
Rice Indica SEA MS01304,322960
Millet Pearl CAF MS00080,321466
Maize CAF MS00872,321369
Millet Pearl WAF MS00647,312947
Wheat Durum LAC MS00068,312555
Maize WAF MS00870,309439
Barley CA MS00262,307255
Banana Matooke CAF MS00784,303429
Sorghum WAF MS00675,301137
Rice Indica EAF MS00289,299384
Maize CAF MS00875,289402
Beans EAF MS00502,287680
Potato SA MS00810,287092
Groundnut EAF MS00392,284544
Rice Indica EAF MS00293,284278
Beans SAF MS00524,284130
Rice Tropical japonica SAF MS00940,283502
Potato WA MS00846,282500
Cowpea WAF MS01232,280738
Taro WAF MS01073,278315
Groundnut SAF MS00397,275901
Maize CAF MS01301,275778
Millet Pearl SA MS01118,274563
Millet Pearl SA MS00960,274563
Sorghum EAF MS00672,272803
Rice Indica SA MS00612,271866
Rice Indica LAC MS01251,265622
Groundnut CAF MS01248,264199
Potato LAC MS00830,262445
Groundnut WAF MS00634,256396
Faba bean NAF MS01299,254182
Barley CA MS00266,243775
Beans EAF MS00498,242469
Rice Indica CAF MS01327,241298
Wheat Durum EAF MS00027,239589
Beans SAF MS00526,238347
Lentil CA MS01264,230641
Beans EAF MS00507,229883
Rice Indica WAF MS01329,228565
Cowpea CAF MS01227,228371
Wheat Spring LAC MS00044,220950
Maize WAF MS00868,219907
Millet Finger SA MS00955,219650
Soybean SAF MS00224,216983
Sorghum CAF MS01246,216207
Groundnut WAF MS00629,215423
Maize SA MS00364,214685
Banana Dessert CAF MS01288,212400
Rice Indica WAF MS01334,210781
Rice Indica SEA MS00561,209316
Potato SA MS00814,206968
Rice Indica SEA MS00582,206342
Sorghum WAF MS00676,200303
Potato EAF MS00806,200290
Rice Indica SAF MS01328,200000
Potato SA MS00817,199394
Maize LAC MS00376,197975
Sweetpotato WAF MS00727,197801
Groundnut WAF MS00627,196166
Potato SA MS00812,196138
Potato SA MS00811,196115
Millet Pearl SAF MS00650,195263
Sweetpotato SAF MS00724,195050
Beans EAF MS00486,192789
Banana Mchare EAF MS00008,192681
Millet Finger EAF MS00652,190357
Beans CAF MS00759,188767
Rice Indica CA MS00621,187236
Potato CA MS00849,185966
Potato NAF MS00841,185344
Rice Indica SAF MS00576,184606
Potato WAF MS00838,182225
Cowpea EAF MS00167,181588
Pepper Chilli EAF MS01201,180942
Pepper Chilli EAF MS01204,180942
Rice Indica SAF MS00313,178194
Maize WAF MS00859,177289
Millet Pearl WAF MS00644,169105
Potato LAC MS00829,168257
Beans EAF MS00499,167241
Millet Pearl WAF MS00642,161465
Sweetpotato CAF MS00787,158904
Rice Indica CAF MS00145,158589
Beans WAF MS00512,158563
Groundnut WAF MS00916,157957
Wheat Durum NAF MS00029,155794
Rice Indica SAF MS01294,155523
Millet Finger EAF MS00655,154610
Millet Pearl CAF MS00082,153482
Potato NAF MS00840,153008
Pigeonpea EAF MS00694,149956
Potato CA MS00848,147871
Cowpea EAF MS00173,147679
Pigeonpea EAF MS00696,147061
Rice Basmati SA MS00944,146717
Wheat Spring LAC MS00048,146684
Rice Indica CAF MS00280,145832
Rice Indica SA MS00591,143980
Rice Indica SA MS00593,143980
Wheat Durum NAF MS00066,142531
Cowpea WAF MS01233,140369
Potato SA MS00813,138249
Pigeonpea SEA MS01005,137665
Cassava SA MS00903,136467
Rice Indica WAF MS00341,130977
Maize SA MS00359,130891
Barley SA MS00267,129485
Rice Indica SA MS00303,129085
Cowpea CAF MS01226,126872
Rice Indica SEA MS00603,126693
Potato WAF MS00837,125776
Chickpea Desi EAF MS00981,125725
Potato SA MS00815,121491
Beans WAF MS00521,120432
Maize SA MS00363,119247
Beans CAF MS00764,118789
Rice Indica SAF MS00315,118439
Chickpea Desi EAF MS00685,117160
Tomato WAF MS01191,116946
Rice Indica SAF MS00605,116408
Lentil EAF MS00275,115471
Rice Indica SEA MS00609,110960
Wheat Spring WAF MS00712,110330
Beans CAF MS00761,110117
Sweetpotato LAC MS00731,109429
Cassava EAF MS00893,108965
Potato LAC MS00832,108853
Rice Indica SEA MS00583,107673
Maize CAF MS00879,106555
Sorghum CAF MS01245,106115
Sweetpotato SEA MS00743,106088
Sweetpotato SA MS00737,105008
Beans CAF MS01267,103886
Sweetpotato EAF MS00721,103068
Barley WA MS00268,102338
Rice Indica EAF MS01306,101875
Rice Temperate japonica WA MS00931,100558
Potato CA MS00847,100019
Millet Pearl WAF MS00645,99499
Groundnut EAF MS00391,98368
Beans CAF MS00765,98170
Sorghum EAF MS00663,97681
Groundnut CAF MS01249,97646
Potato SA MS00816,96497
Pigeonpea SAF MS00452,96448
Cowpea CAF MS01236,96424
Sorghum SAF MS00662,92185
Potato WA MS00845,91821
Pigeonpea SEA MS01006,91777
Potato EAF MS00801,91457
Grasspea EAF MS00279,90000
Cowpea WAF MS01234,89807
Cassava LAC MS00899,88918
Potato NAF MS00842,88452
Beans SAF MS00531,85138
Beans SAF MS00528,84590
Groundnut SAF MS00988,84472
Cowpea EAF MS00180,82813
Pigeonpea EAF MS00451,82389
Banana Plantain EAF MS01289,82349
Potato LAC MS00831,82001
Millet Finger EAF MS00658,81304
Groundnut WAF MS00640,80420
Tomato WAF MS01190,80100
Beans CAF MS00772,78954
Potato LAC MS00827,78540
Rice Indica EAF MS00286,76041
Sweetpotato CAF MS00786,75895
Sweetpotato WAF MS00729,74313
Cowpea EAF MS00177,73888
Cowpea EAF MS00170,73595
Potato LAC MS00833,72924
Potato WAF MS00839,72249
Rice Indica EAF MS00291,71517
Groundnut EAF MS00389,71380
Maize CAF MS00873,71348
Cowpea SAF MS00174,70968
Potato EAF MS00805,69863
Potato LAC MS00826,69133
Sorghum WAF MS01119,68969
Groundnut SAF MS00989,68643
Potato LAC MS00828,67714
Groundnut WAF MS00637,67094
Rice Indica SEA MS00624,66674
Pigeonpea SAF MS00454,66629
Rice Indica SEA MS01305,65904
Potato SEA MS00820,65769
Potato SA MS00808,65665
Rice Indica SEA MS00566,65534
Groundnut WAF MS00636,63992
Groundnut WAF MS00638,63895
Rice Indica CAF MS01333,63410
Cowpea SAF MS00788,62857
Sweetpotato SEA MS00742,61797
Tomato WAF MS01194,61232
Rice Indica EAF MS01322,61098
Tomato WAF MS01187,60262
Potato SAF MS00858,59484
Beans WAF MS00518,59461
Sweetpotato EAF MS00718,57974
Rice Indica SAF MS00314,57948
Cowpea WAF MS01235,57826
Pepper Chilli WAF MS01208,56122
Pepper Chilli WAF MS01211,56122
Barley SA MS00263,56110
Sweetpotato SEA MS00747,55328
Sweetpotato LAC MS00730,55237
Chickpea Kabuli NAF MS00034,55084
Sorghum CAF MS01244,55046
Wheat Durum WAF MS00031,53669
Sorghum WAF MS00680,53204
Soybean SAF MS00225,52918
Wheat Spring EAF MS00702,52766
Groundnut WAF MS00917,52653
Potato SAF MS00857,52035
Lentil NAF MS00277,52001
Cowpea CAF MS01223,50749
Beans LAC MS00542,50389
Maize SEA MS00351,50181
Potato SA MS00809,49450
Taro EAF MS01239,44793
Soybean SAF MS00226,43734
Potato SAF MS00855,43483
Potato NAF MS00843,42502
Potato EAF MS00802,42337
Beans CAF MS00776,41554
Potato SAF MS00852,41400
Beans WAF MS00514,39641
Cassava EAF MS00891,39583
Potato SEA MS00822,39252
Sorghum WAF MS00914,39189
Rice Indica CAF MS00148,38863
Pepper Habanero WAF MS01218,37789
Rice Basmati EAF MS00945,37778
Chickpea Kabuli EAF MS00687,35210
Sorghum WA MS01057,34695
Rice Indica WAF MS00340,34496
Potato SAF MS00856,34343
Rice Indica SEA MS00564,34105
Forages Panicum max WAF MS00954,33796
Cowpea EAF MS00184,33025
Millet Finger SAF MS00653,32984
Groundnut WAF MS00639,32694
Maize CAF MS00871,31967
Tomato EAF MS01182,30534
Beans EAF MS00493,29535
Sweetpotato SEA MS00741,28801
Rice Indica EAF MS00281,28538
Rice Temperate japonica NAF MS00936,28370
Wheat Spring SAF MS00704,28046
Soybean EAF MS00228,26984
Forages Urochloa hum WAF MS00952,26910
Pepper Habanero WAF MS01217,26845
Rice Indica SEA MS00565,26686
Maize SEA MS00350,26546
Cowpea SAF MS00183,25346
Millet Finger SAF MS00657,25171
Rice Indica SEA MS00604,24981
Faba bean WA MS00269,24876
Pepper Chilli WAF MS01209,24672
Pepper Chilli WAF MS01213,24672
Rice Indica SEA MS00331,23663
Maize SEA MS00349,23660
Potato SA MS00819,23450
Chickpea Desi EAF MS00689,22995
Millet Finger EAF MS00660,22752
Potato EAF MS00800,22418
Sweetpotato SA MS00736,22017
Beans CAF MS00780,21815
Potato CAF MS00835,21760
Sorghum SAF MS00664,21691
Maize CAF MS00878,21311
Tomato WAF MS01188,21136
Potato LAC MS00825,20343
Potato CAF MS00834,20341
Rice Tropical japonica EAF MS00941,19992
Potato EAF MS00804,19876
Beans WAF MS00519,19820
Rice Indica WAF MS01326,19764
Tomato WAF MS01192,19610
Beans LAC MS00547,19402
Pigeonpea SA MS01004,19341
Pepper Chilli EAF MS01200,19134
Soybean SAF MS00222,18921
Rice Basmati SAF MS00942,18803
Sorghum EAF MS01048,18724
Potato LAC MS00824,18381
Tomato EAF MS01175,18259
Beans CAF MS00777,18248
Rice Indica LAC MS01292,17992
Rice Indica SEA MS00586,17962
Tomato WAF MS01189,17644
Rice Indica CAF MS01332,17282
Rice Indica EAF MS00282,17021
Pepper Chilli EAF MS01206,16969
Tomato EAF MS01174,16899
Sweetpotato SA MS00738,16613
Potato SA MS00818,16247
Potato EAF MS00803,15884
Pepper Habanero WAF MS01219,15735
Potato SAF MS00854,15278
Rice Indica SAF MS01325,15101
Pepper Chilli CAF MS01198,14996
Pepper Chilli CAF MS01199,14996
Beans SAF MS00530,14995
Cassava PAC MS01275,14974
Potato SEA MS00823,14698
Pepper Chilli CAF MS01196,14539
Pepper Chilli CAF MS01197,14539
Sweetpotato LAC MS00732,14143
Rice Indica SEA MS00597,14120
Rice Indica SEA MS01310,13451
Potato WA MS00844,13273
Sorghum WAF MS00679,13063
Chickpea Kabuli NAF MS00036,12737
Pepper Chilli EAF MS01205,12402
Pepper Chilli EAF MS01202,12140
Faba bean WA MS00270,11953
Rice Temperate japonica NAF MS00930,11730
Millet Pearl CAF MS00084,11722
Rice Temperate japonica NAF MS00935,11639
Rice Indica SAF MS00568,11588
Sorghum SAF MS00671,11557
Pepper Habanero WAF MS01216,11480
Rice Indica SEA MS00557,11366
Cowpea WAF MS01237,10827
Rice Basmati SAF MS00946,10737
Maize CAF MS00877,10656
Chickpea Kabuli WA MS00037,10265
Potato SAF MS00850,10222
Sweetpotato NAF MS00795,10071
Rice Indica SEA MS00590,9625
Sorghum SAF MS00920,9501
Chickpea Kabuli CA MS01252,9188
Potato SAF MS00853,9186
Potato SEA MS00821,8934
Chickpea Kabuli EAF MS00691,8875
Wheat Spring WAF MS00713,8703
Potato CAF MS00836,8356
Soybean WAF MS00230,8296
Rice Indica SAF MS01291,8156
Tomato EAF MS01176,8041
Rice Indica SAF MS00558,7499
Rice Indica CAF MS01330,7406
Soybean EAF MS00221,6368
Rice Indica SA MS00587,6113
Soybean CAF MS00220,6011
Millet Pearl EAF MS00924,5892
Tomato EAF MS01177,5269
Maize WAF MS00862,5201
Pepper Chilli WAF MS01210,5122
Pepper Chilli WAF MS01212,5122
Banana Mchare CAF MS00766,5082
Cowpea CAF MS01238,5074
Soybean CAF MS00217,5074
Rice Indica SEA MS00618,4568
Beans CAF MS00773,4562
Soybean CAF MS00227,4398
Groundnut SAF MS00394,4312
Rice Temperate japonica SAF MS00947,4102
Sweetpotato LAC MS00733,3667
Sweetpotato LAC MS00734,3626
Pepper Habanero WAF MS01214,3133
Sweetpotato LAC MS00735,2947
Beans CAF MS00781,2737
Tomato EAF MS01172,2585
Rice Indica SEA MS01296,2567
Sweetpotato NAF MS00796,2476
Millet Finger SAF MS00659,2359
Faba bean WA MS00793,2275
Rice Indica SA MS00588,2242
Rice Indica EAF MS00607,2088
Soybean EAF MS00229,2013
Rice Indica SEA MS00598,1906
Sorghum SAF MS00918,1900
Beans CAF MS00770,1825
Beans CAF MS00775,1825
