crop,tpp_count
Maize,89
Wheat,53
Rice,50
Sorghum,43
Millet,37
Cassava,26
Groundnut,19
Beans,17
Barley,15
Soybean,15
Cowpea,12
Chickpea,11
Sweetpotato,7
Pigeonpea,6
Faba bean,5
Forages,5
Lentil,5
Potato,5
Taro,4
Yam,3
Bambara groundnut,2
Banana,2
Grasspea,2
