subregion,total_hectares
South Asia,155056208
West Africa,98021024
South East Asia,51419673
East Africa,48174975
Latin America and the Caribbean,36852524
West Asia,32266771
Central Africa,20963755
Southern Africa,20099916
North Africa,11827909
Central Asia,9740656
The Pacific,14974
