germplasm_type,tpp_count
No Germplasm Type,275
Indica,42
Spring,27
Pearl,25
Durum,21
Finger,12
Kabuli,9
Winter,5
Tropical japonica,4
Desi,2
Urochloa isp,2
Panicum max,2
White,2
Matooke,1
Plantain,1
Waxy,1
Urochloa hum,1
Water,1
