maturity_duration,segment_count,total_hectares
Early,251,161352238
Mid,192,162994129
NA,92,50086229
Late,48,39961467
Late; Mid,35,29137648
Early; Mid,17,15848515
Early; Extra-early,11,6529062
Extra-early,7,1873271
,4,1710932
Early; Late; Mid,3,0
Early; Extra-early; Very Early,2,8503041
Very Early,2,0
Early; Very Early,1,3260079
Medium,1,2474322
Extra-early; Mid,1,707452
