style,tpp_id,CropName,GermplasmType,TPPID,TPPShortName,TPPInternalName,Organisation,TPPLead,Status,Scope,BreedingEffort,Tier,BPShortName,BPLongName,BreedingTeam,TeamLead,MSShortName,TPPDescription,Cost,TPPDateCreated,TPPDateLastEdited
,305,Rice,Tropical japonica,TPP00271,Rice Tropical japonica CAF AfricaRice TPP00271,-,AfricaRice,Shailesh Yadav,Funded,CGIAR,Category 2: Early and Late Testing,-,Rice Tropical japonica AfricaRice BP00106,DELS-U,Upland,-,Rice Tropical japonica CAF MS00938,"Early maturity/Long(slender)/Soft grain--upland rice, Central Africa; Direct seeded",-,"April 25, 2023","December 12, 2025"
,306,Rice,Tropical japonica,TPP00272,Rice Tropical japonica EAF AfricaRice TPP00272,-,AfricaRice,Shailesh Yadav,Funded,CGIAR,Category 2: Early and Late Testing,-,Rice Tropical japonica AfricaRice BP00106,DELS-U,Upland,-,Rice Tropical japonica EAF MS00941,"Early maturity/Long(slender)/Soft grain--upland rice, East Africa; Direct seeded",-,"April 25, 2023","December 15, 2025"
,277,Rice,Tropical japonica,TPP00103,Rice Tropical japonica LAC CIAT TPP00103,-,CIAT,Jerome Bartholome,Funded,CGIAR,Category 1: Full,-,Rice CIAT BP00043,Biofortified Upland,Biofortified,-,Rice Tropical japonica LAC MS00297,Rice | Non-Hybrid | LAC | Food; Long Firm | White | High Zn Biofortified | Rainfed; Direct Seeded | Early-Intermediate,-,"April 25, 2023","October 16, 2025"
,304,Rice,Tropical japonica,TPP00270,Rice Tropical japonica WAF AfricaRice TPP00270,-,AfricaRice,Shailesh Yadav,Funded,CGIAR,Category 1: Full,-,Rice Tropical japonica AfricaRice BP00106,DELS-U,Upland,-,Rice Tropical japonica WAF MS00937,"Early maturity/Long(slender)/Soft grain--upland rice, West Africa; Direct seeded",-,"April 25, 2023","December 12, 2025"
,319,Sorghum,No Germplasm Type,TPP00977,Sorghum CAF CIMMYT TPP00977,-,CIMMYT,Baloua Nebie,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00225,SDWSL,ADCIN WCA sorghum breeding group,-,Sorghum CAF MS01241,-,-,"November 03, 2025","November 03, 2025"
,323,Sorghum,No Germplasm Type,TPP00978,Sorghum CAF CIMMYT TPP00978,-,CIMMYT,Baloua Nebie,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00226,MDWSL,ADCIN WCA sorghum breeding group,-,Sorghum CAF MS01242,-,-,"November 03, 2025","November 03, 2025"
,326,Sorghum,No Germplasm Type,TPP00979,Sorghum CAF CIMMYT TPP00979,-,CIMMYT,Baloua Nebie,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00227,MDRSL,ADCIN WCA sorghum breeding group,-,Sorghum CAF MS01243,-,-,"November 03, 2025","November 03, 2025"
,324,Sorghum,No Germplasm Type,TPP00980,Sorghum CAF CIMMYT TPP00980,-,CIMMYT,Baloua Nebie,Funded,CGIAR,Category 2: Early and Late Testing,-,Sorghum CIMMYT BP00226,MDWSL,ADCIN WCA sorghum breeding group,-,Sorghum CAF MS01244,-,-,"November 03, 2025","November 03, 2025"
,343,Sorghum,No Germplasm Type,TPP01049,Sorghum CAF ICRISAT TPP01049,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 2: Early and Late Testing,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum CAF MS01241,-,-,"March 23, 2026","March 23, 2026"
,344,Sorghum,No Germplasm Type,TPP01050,Sorghum CAF ICRISAT TPP01050,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 2: Early and Late Testing,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum CAF MS01242,-,-,"March 23, 2026","March 23, 2026"
,345,Sorghum,No Germplasm Type,TPP01051,Sorghum CAF ICRISAT TPP01051,-,ICRISAT,Bright Jumbo,Funded,CGIAR,Category 2: Early and Late Testing,-,Sorghum ICRISAT BP00180,BP2,ICRISAT-SA-Sorghum Breeding,-,Sorghum CAF MS01243,-,-,"March 23, 2026","March 23, 2026"
,309,Sorghum,No Germplasm Type,TPP00388,Sorghum EAF CIMMYT TPP00388,-,CIMMYT,Tamerlane Nas,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00148,EWS,ADCIN ESA sorghum breeding workgroup,-,Sorghum EAF MS00665,-,-,"May 29, 2024","May 29, 2024"
,312,Sorghum,No Germplasm Type,TPP00391,Sorghum EAF CIMMYT TPP00391,-,CIMMYT,Tamerlane Nas,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00149,ERS,ADCIN ESA sorghum breeding workgroup,-,Sorghum EAF MS00661,-,-,"May 30, 2024","May 30, 2024"
,315,Sorghum,No Germplasm Type,TPP00392,Sorghum EAF CIMMYT TPP00392,-,CIMMYT,Tamerlane Nas,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00150,HWS,ADCIN ESA sorghum breeding workgroup,-,Sorghum EAF MS00672,-,-,"May 30, 2024","May 30, 2024"
,317,Sorghum,No Germplasm Type,TPP00394,Sorghum EAF CIMMYT TPP00394,-,CIMMYT,Tamerlane Nas,Funded,CGIAR,Category 1: Full,-,Sorghum CIMMYT BP00151,HRS,ADCIN ESA sorghum breeding workgroup,-,Sorghum EAF MS00663,-,-,"May 30, 2024","May 30, 2024"
,313,Sorghum,No Germplasm Type,TPP00400,Sorghum EAF CIMMYT TPP00400,-,CIMMYT,Tamerlane Nas,Funded,CGIAR,Category 4: Late Testing,-,Sorghum CIMMYT BP00149,ERS,ADCIN ESA sorghum breeding workgroup,-,Sorghum EAF MS00667,-,-,"May 30, 2024","May 31, 2024"
